Title,Manufacturer,Amps,Voltage,Max. Voltage,Bus Ratings,Electrical,Description,Link
"Five Star Double-Sided Motor Control Center (MCC), 600V max., 1000A",WESTINGHOUSE,,,600,600 VAC- 1000 Amp- 60 Hz- 3 Phase,,Condition  Used   600  Bus Rating: 600 VAC- 1000 Amp- 60 Hz- 3 Phase,https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-1
5kV/1200A Medium Voltage MCC Single Structure w/ Motor Protection Relay,ALLEN-BRADLEY,,,5000,"5000V Max., 1200A, 3-ph",,"S/N:  7006202-009-05   Used   5000   Structure Configuration: 1-High Series No.: 7006202-009-05  Structure Series: L NEMA Type: 12  Bus Rating: 5000V Max., 1200A, 3-ph Top Unit Rating: 260A  Bottom Unit Rating: 300A Structure Total: 560A  Unit Components:  GENERAL ELECTRIC Motor Protection Relay 369-HI-R-M-0-P-0 ALLEN-BRADLEY Non-load Break Isolation Switch 3 x FERRAZ SHAWMUT Fuses A480R6R-1 ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 400A, 6000A Interrupting Capacity 3 x Donut-Type Current Transformers",https://www.lenmark.com//collections/mcc/products/5kv-1200a-medium-voltage-mcc-single-structure-w-motor-protection-relay-2
5kV/1200A Medium Voltage MCC Single Structure w/ Feeder Protection Relay,ALLEN-BRADLEY,,,5000,"5000V Max., 1200A, 3-ph",,"S/N:  7006202-003-05   Used   5000   Structure Configuration: 1-High Series No.: 7006202-003-05  Structure Series: L NEMA Type: 12  Bus Rating: 5000V Max., 1200A, 3-ph Top Unit Rating: 540A  Structure Total: 540A Unit Components  GENERAL ELECTRIC F35 Multiple Feeder Management Relay  ALLEN-BRADLEY Non-load Break Isolation Switch  3 x FERRAZ SHAWMUT Fuses A055B2D0R0-600E  ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 800A, 12000A Interrupting Capacity  3 x Donut-Type Current Transformers",https://www.lenmark.com//collections/mcc/products/5kv-1200a-medium-voltage-mcc-single-structure-w-feeder-protection-relay
5kV/1200A Medium Voltage MCC Single Structure w/ Motor Protection Relay,ALLEN-BRADLEY,,,5000,"5000V Max., 1200A, 3-ph",,"S/N:  7006202-004-05   Used   5000   Structure Configuration: 1-High Series No.: 7006202-004-05  Structure Series: L NEMA Type: 12  Bus Rating: 5000V Max., 1200A, 3-ph Top Unit Rating: 260A  Bottom Unit Rating: 300A Structure Total: 560A  Unit Components  GENERAL ELECTRIC Motor Protection Relay 369-HI-R-M-0-P-0 ALLEN-BRADLEY Non-load Break Isolation Switch 3 x FERRAZ SHAWMUT Fuses A480R6R-1 ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 400A, 6000A Interrupting Capacity",https://www.lenmark.com//collections/mcc/products/5kv-1200a-medium-voltage-mcc-single-structure-w-motor-protection-relay
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 22 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-22-buckets
"3000A, 600V Switchgear 02877-A2-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,,Model  02877-A2-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34573-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34577-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34597-87,https://www.lenmark.com//collections/mcc/products/3000a-600v-switchgear-02877-a2-88-w-control-module-3-x-50hl-3-air-breakers
"3000A, 600V Switchgear 02877-A6-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,,Model  02877-A6-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34592-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34590-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34591-87,https://www.lenmark.com//collections/mcc/products/3000a-600v-switchgear-02877-a6-88-w-control-module-3-x-50hl-3-air-breakers
"3000A, 600V Switchgear 02877-A3-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,,Model  02877-A3-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34580-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34582-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34581-87,https://www.lenmark.com//collections/mcc/products/3000a-600v-switchgear-02877-a3-88-w-control-module-3-x-50hl-3-air-breakers
"600HP 1336 PLUS II Adjustable Frequency AC Drive (VFD), 575V",ALLEN-BRADLEY,600 amps,575 volts,,,,Model  1336F-C600C-AA   C-1003065-001-007   UNITED STATES   Surplus New   600 hp   575 volts   3-phase   600 amps,https://www.lenmark.com//collections/mcc/products/600hp-1336-plus-ii-adjustable-frequency-ac-drive-vfd-575v-1
"600HP 1336 PLUS II Adjustable Frequency AC Drive (VFD), 575V",ALLEN-BRADLEY,600 amps,575 volts,,,,Model  1336F-C600C-AA   C-1003065-001-004   UNITED STATES   Surplus New   600 hp   575 volts   3-phase   600 amps,https://www.lenmark.com//collections/mcc/products/600hp-1336-plus-ii-adjustable-frequency-ac-drive-vfd-575v-2
"3000A, 600V Switchgear 02877-A5-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,,Model  02877-A5-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34587-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34588-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34589-87,https://www.lenmark.com//collections/mcc/products/3000a-600v-switchgear-02877-a5-88-w-control-module-3-x-50hl-3-air-breakers
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 23 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-23-buckets-1
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 24 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-24-buckets-1
"3000A, 600V Switchgear 02877-A7-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,,Model  02877-A7-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34593-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34579-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34595-87,https://www.lenmark.com//collections/mcc/products/3000a-600v-switchgear-02877-a7-88-w-control-module-3-x-50hl-3-air-breakers
4160 Volts 3 Phase Medium Voltage Motor Control Center MVC02-130008GA01C,SIEMENS,,,,,,"Model  MVC02-130008GA01C   130008   UNITED STATES   Used   Voltage: 4160 Phase: 3  Enclosure Type: NEMA 1 Horizontal Bus Continuous Rating: 2000 Amps  Impulse Test Voltage: 60KV Short Circuit Rating: 50,000 Amps RMS Sym / 350 MVA RMS Sym",https://www.lenmark.com//collections/mcc/products/4160-volts-3-phase-medium-voltage-motor-control-center-mvc02-130008ga01c
"Five Star Motor Control Center (MCC), 600V Max., 1000A, 21 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-motor-control-center-mcc-600v-max-1000a-21-buckets
600 Volts 3 Phase Model 8PX Motor Control Centre Y7692-V005,SIEMENS,,,,,,Model  Y7692 V003   CANADA   Used   Voltage: 600V Horizontal Bus Amps: 1200A  Vertical Bus Amps: 440A Phase: 3,https://www.lenmark.com//collections/mcc/products/600-volts-3-phase-model-8px-motor-control-centre-y7692-v005
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 11 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-11-buckets
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 13 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-13-buckets
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 13 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-13-buckets-1
"Five Star Double-Sided Motor Control Center (MCC), 600V max., 1000A",WESTINGHOUSE,,,600,600 VAC- 1000 Amp- 60 Hz- 3 Phase,,Condition  Used   600  Bus Rating: 600 VAC- 1000 Amp- 60 Hz- 3 Phase,https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 12 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-12-buckets
600 Volts 3 Phase Model 8PX Motor Control Centre Y7692 V003,SIEMENS,,,,,,Model  Y7692 V003   CANADA   Used   Voltage: 600V Horizontal Bus Amps: 1200A  Vertical Bus Amps: 440A Phase: 3,https://www.lenmark.com//collections/mcc/products/600-volts-3-phase-model-8px-motor-control-centre-y7692-v003
SMC-FLEX Smart Motor Controller 150-F317NBDD,ALLEN-BRADLEY,,,,,,"Model  150-F317NBDD   68030162   Used   Phase: 3-Ph Line Voltage: 200-480VAC, 50/60hz  Control Voltage: 100-240VAC Line Controller:  Max. Continuous Current: 317A  Max. Connected Motor Power: 90 kW @ 230V AC, 50 Hz, 3-phase  Delta Controller:  Max. Continuous Current: 549A  Max. Connected Motor Power: 500 Hp @ 575V AC, 60 Hz, 3-phase",https://www.lenmark.com//collections/mcc/products/smc-flex-smart-motor-controller-150-f317nbdd
Full Voltage Non-Reversing MCC Bucket Size 5,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Used   5   200 hp   600   MCC Bucket Specifications:  HP Rating: 200HP Electrical: 600V, 60hz, 3-Ph Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 250a 2.5Kmag  Components  2 x SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40LP32A, 200HP, 270A, 460/575VAC SIEMENS Circuit Breaker CJD63H400, 400A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2203-3A SIEMENS Current Measuring Module 3UF7104-1BA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-135
"Low Voltage PDC, 2000A Breaker CRDC320T32W, Power Meter PQMII",ALLEN-BRADLEY,,,600,,,"S/N:  LRXX19/1   Used   600   Horizontal Bus Power: 1200 A Voltage: 600 V  Phase: 3 Enclosure: Type 1G  Circuit Breaker  Brand: Eaton Model: CRDC320T32W  Trip: Digitrip 310 unit RES2000LSI Interrupting Capacity:  200 kA @ 240 V  100 kA @ 480 V  65 kA @ 600 V  Power Quality Meter Brand: GE  Model: PQMII-T20-C-A Control Power:  90 - 300 VDC, 20 VA  70 - 265 VAC, 20 VA  Max. Contact Rating: 250 VAC, 8 A resistive",https://www.lenmark.com//collections/mcc/products/low-voltage-pdc-2000a-breaker-crdc320t32w-power-meter-pqmii
Full Voltage Non-Reversing MCC Bucket Size 5,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Very Good   5   200 hp   600   MCC Bucket Specifications:  HP Rating: 200HP  Electrical: 600V, 60hz, 3-Ph  Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 250a 2.5Kmag   Components  2 x SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40LP32A, 200HP, 270A, 460/575VAC SIEMENS Circuit Breaker CJD63H400, 400A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2203-3A SIEMENS Current Measuring Module 3UF7104-1BA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-33
Full Voltage Non-Reversing MCC Bucket Size 5,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Used   5   600   MCC Bucket Specifications:  Electrical: 600V, 60hz, 3-Ph Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 250a 2.5Kmag  Components  2 x SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40LP32A, 200HP, 270A, 460/575VAC SIEMENS Circuit Breaker CJD63H400, 400A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2203-3A SIEMENS Current Measuring Module 3UF7104-1BA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-111
Full Voltage Non-Reversing MCC Bucket Size 5,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Used   5   200 hp   600   MCC Bucket Specifications:  HP Rating: 200HP Electrical: 600V, 60hz, 3-Ph Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 400a 4Kmag  Components  2 x SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40LP32A, 200HP, 270A, 460/575VAC SIEMENS Circuit Breaker CJD63H400, 400A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2203-3A SIEMENS Current Measuring Module 3UF7104-1BA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-132
Full Voltage Non-Reversing MCC Bucket Size 5,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Used   5   200 hp   600   MCC Bucket Specifications:  HP Rating: 200HP Electrical: 600V, 60hz, 3-Ph Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 250a 2.5Kmag  Components  2 x SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40LP32A, 200HP, 270A, 460/575VAC SIEMENS Circuit Breaker CJD63H400, 400A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2203-3A SIEMENS Current Measuring Module 3UF7104-1BA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-138
"Power Distribution Panel MCC, 200HP, 600V, 3PH, 34285674-001",SQUARE D,,,600,,,"Model  34285674-001   Used   5   200 hp   600   Enclosure: Type 1A Breaker  Square D  JLL36250M75  250A, 3-Pole, 600V  Contactor  Square D 8536SGO1H666S NEMA Size 5  Transformer  9070T500D5 0.5kVA Pri 550/575/600V Sec 110/115/120V  Schneider Electric Breaker  GV2ME03 0.25-0.4A  Motor Controller  LTMR08MFM 0.4 to 8A 100 to 240VAC",https://www.lenmark.com//collections/mcc/products/power-distribution-panel-mcc-200hp-600v-3ph-34285674-001
"Model 8PX  Motor Control Center (MCC), 600V, 1200A Horiz., 440A Vert.",SIEMENS,,,,,,Model  8PX   CANADA   Used   Voltage: 600V Horizontal Bus Amps: 1200A  Vertical Bus Amps: 440A Phase: 3,https://www.lenmark.com//collections/mcc/products/model-8px-motor-control-center-mcc-600v-1200a-horiz-440a-vert
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 15 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-15-buckets
Centerline 1500 Medium Voltage Motor Control Centers 1599-AAE,ALLEN-BRADLEY,,,5000,,,Model  1599-AAE   Good   700 hp   5000   Max Voltage: 5000 volts   Amp: 1200 Amp  Phase: 3 ph   Frequency: 60 Hz  Enclosure Rating: Nema 1   Series No.: 7008507-001-08  Structure Series: M  700 HP Drive,https://www.lenmark.com//collections/mcc/products/centerline-1500-medium-voltage-motor-control-centers-1599-aae
Circuit Breaker MCC Bucket 800A,SIEMENS,,,600,,"600V, 60hz, 3-Ph, 800a","Condition  Very Good   600   MCC Bucket Specifications:  Electrical: 600V, 60hz, 3-Ph, 800a  Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ MXD6 800a   Components  SIEMENS Circuit Breaker MXD63B800, 800A, 600V, 3-Pole",https://www.lenmark.com//collections/mcc/products/circuit-breaker-mcc-bucket-800a-1
Circuit Breaker MCC Bucket 800A,SIEMENS,,,600,,"600V, 60hz, 3-Ph, 800a","Condition  Very Good   600   MCC Bucket Specifications:  Electrical: 600V, 60hz, 3-Ph, 800a  Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ MXD6 800a   Components  SIEMENS Circuit Breaker MXD63B800, 800A, 600V, 3-Pole",https://www.lenmark.com//collections/mcc/products/circuit-breaker-mcc-bucket-800a
Single Structure VFD Panel w/ 50HP ABB VFD ACS-800-U1-0060-7,SIEMENS,,,,,,"Condition  Very Good   50 hp   Components  ABB Variable Frequency Drive (VFD) ACS-800-U1-0060-7, 50hp, 52A, Size R5 ABB Profibus Adapter Module RPBA-01 MTE Line/Load Reactor RL-05502, 55A SIEMENS Contactor 40JG32A, 100HP, 135A, 600VAC ABB Fused Switch, 3-Pole w/ 3 x 90A Fuses",https://www.lenmark.com//collections/mcc/products/single-structure-vfd-panel-w-50hp-abb-vfd-acs-800-u1-0060-7
Full Voltage Non-Reversing MCC Bucket Size 4,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Used   4   100 hp   600   MCC Bucket Specifications:  HP Rating: 100HP Electrical: 600V, 60hz, 3-Ph Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 125a 1250mag  Components  SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40JG32A, 100HP, 135A, 600VAC SIEMENS Circuit Breaker CFD63A250, 250A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2202-3A SIEMENS Current Measuring Module 3UF7103-1AA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-67
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 5 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-5-buckets
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 4 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-4-buckets
Full Voltage Non-Reversing MCC Bucket Size 3,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Very Good   3   50 hp   600   MCC Bucket Specifications:  HP Rating: 50HP  Electrical: 600V, 60hz, 3-Ph  Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 100a 1000mag   Components  SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40HP32A, 50HP, 90A, 600VAC SIEMENS Circuit Breaker CED63A040, 40A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2202-3A SIEMENS Current Measuring Module 3UF7102-1AA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-30
Combination Motor Controller MCC Bucket w/ 15hp VFD,SIEMENS,,,600,,"600V, 60hz, 3-Ph, 15a","Condition  Used   600   MCC Bucket Specifications:  Electrical: 600V, 60hz, 3-Ph, 15a Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CED6 15a  Components  ABB Variable Frequency Drive (VFD) ACS-800-04-0011-7, 15hp, 13A, Size R4 ABB Profibus Adapter Module RPBA-01 Open Style Fuse Holder, 3-Pole w/ 3 x 2A Fuses SIEMENS Circuit Breaker CED63B015, 15A, 600V, 3-Pole",https://www.lenmark.com//collections/mcc/products/combination-motor-controller-mcc-bucket-w-15hp-vfd-2
Full Voltage Non-Reversing MCC Bucket Size 4,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Used   4   75 hp   600   MCC Bucket Specifications:  HP Rating: 75HP Electrical: 600V, 60hz, 3-Ph Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 125a 1250mag  Components  SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40JG32A, 100HP, 135A, 600VAC SIEMENS Circuit Breaker CED63A125, 125A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2202-3A SIEMENS Current Measuring Module 3UF7103-1AA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-49
Combination Motor Controller MCC Bucket w/ 15hp VFD,SIEMENS,,,,,,"Condition  Used   Components  ABB Variable Frequency Drive (VFD) ACS-800-04-0011-7, 15hp, 13A, Size R4 ABB Profibus Adapter Module RPBA-01 MTE Line/Load Reactor RL-00403, 4A, 3-Phase Open Style Fuse Holder, 3-Pole w/ 3 x 2A Fuses SIEMENS Circuit Breaker CED63B015, 15A, 600V, 3-Pole",https://www.lenmark.com//collections/mcc/products/combination-motor-controller-mcc-bucket-w-15hp-vfd
Full Voltage Non-Reversing MCC Bucket Size 3,SIEMENS,,,600,,"600V, 60hz, 3-Ph","Condition  Very Good   3   50 hp   600   MCC Bucket Specifications:  HP Rating: 50HP  Electrical: 600V, 60hz, 3-Ph  Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CETI 100a 1000mag   Components  SIEMENS Sirius Contactor Relay 3RH1122-1AK60, 2NO+2NC, 10A, 110VAC SIEMENS Contact Block 3SB3400-0D SIEMENS Contactor 40HP32A, 50HP, 90A, 600VAC SIEMENS Circuit Breaker CED63A040, 40A, 600V, 3-Pole SIEMENS SIMOCODE Pro V PB Profibus DP Interface 3UF7010-1AU00-0 SIEMENS Ground Fault Module 3UF7500-1AA00-0 SIEMENS Current Transformer 3UL2202-3A SIEMENS Current Measuring Module 3UF7102-1AA00-0",https://www.lenmark.com//collections/mcc/products/full-voltage-non-reversing-mcc-bucket-size-17
Combination Motor Controller MCC Bucket w/ 15hp VFD,SIEMENS,,,600,,"600V, 60hz, 3-Ph, 15a","Condition  Used   600   MCC Bucket Specifications:  Electrical: 600V, 60hz, 3-Ph, 15a Short Circuit Rating: 50K Amperes RMS Symmetrical, 600V Max. w/ CED6 15a  Components  ABB Variable Frequency Drive (VFD) ACS-800-04-0011-7, 15hp, 13A, Size R4 ABB Profibus Adapter Module RPBA-01 Open Style Fuse Holder, 3-Pole w/ 3 x 2A Fuses SIEMENS Circuit Breaker CED63B015, 15A, 600V, 3-Pole",https://www.lenmark.com//collections/mcc/products/combination-motor-controller-mcc-bucket-w-15hp-vfd-1
