Title,Manufacturer,kVA,Primary Voltage,Secondary Voltage,Phase,Oil vs Dry,Transformer Type,Enclosure,Description,Link
"75 kVA Transformer RC75JH/X, 600V Pri., 480V Sec.",BEAVER,75 kVA,600Y volts,480Y volts,3-phase,Dry,,Nema 2,Model  RC75JH/X   B12297   CANADA   Used   75 kVA   600Y volts   480Y volts   3-phase   Auto   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/75-kva-transformer-rc75jh-x-600v-pri-480v-sec
5KVA 600V to 120/240V Isolation Transformer SC5J-K/EP,REX POWER MAGNETICS,5 kVA,600 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,Nema 3R,Model  SC5J-K/EP   D 60454-2   CANADA   Surplus New   5 kVA   600 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/5kva-600v-to-120-240v-isolation-transformer-sc5j-k-ep
"75kVA, 3-Ph Autotransformer RA75J-H/N/X, 600V Pri., 480Y Sec.",REX POWER MAGNETICS,75 kVA,600 volts,480 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RA75J-H/N/X   New   75 kVA   600 volts   480 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/75kva-3-ph-autotransformer-ra75j-h-n-x-600v-pri-480y-sec
"15kVA, 3-Ph Autotransformer RC15J-B/N/X, 600/347V Pri., 208/120V Sec.",REX POWER MAGNETICS,15 kVA,600 volts,208/120 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC15J-B/N/X   New   15 kVA   600 volts   208/120 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-3-ph-autotransformer-rc15j-b-n-x-600-347v-pri-208-120v-sec
"45kVA, 3-Ph Autotransformer RC45J-H/N/X, 600V Pri., 480Y Sec.",REX POWER MAGNETICS,45 kVA,600 volts,480 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC45J-H/N/X   New   45 kVA   600 volts   480 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/45kva-3-ph-autotransformer-rc45j-h-n-x-600v-pri-480y-sec
Transformer MCC Bucket 7.5kVA Single-Phase Dry Type,SIEMENS,,,,,,,,"Condition  Very Good   Components HAMMOND 7.5 kVA Transformer, Pri. 600 Sec.120/240, D53492207",https://www.lenmark.com//collections/dry-type-transformer/products/transformer-mcc-bucket-7-5kva-single-phase-dry-type-1
"10 kVA Auto Transformer AVR10QPH4C, 400/380V Pri., 208V Sec.",BEAVER,10 kVA,400 volts,208Y volts,3-phase,Dry,,Nema 2,Model  AVR10QPH4C   15M29005   Surplus New   10 kVA   400 volts   208Y volts   3-phase   Auto   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/10-kva-auto-transformer-avr10qph4c-400-380v-pri-208v-sec
"15kVA, 3-Ph Autotransformer RC15J-H/N/X, 600/347V Pri., 480/277V Sec.",REX POWER MAGNETICS,15 kVA,600 volts,480 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC15J-H/N/X   New   15 kVA   600 volts   480 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-3-ph-autotransformer-rc15j-h-n-x-600-347v-pri-480-277v-sec
Transformer MCC Bucket 7.5kVA Single-Phase Dry Type,SIEMENS,,,,,,,,"Condition  Very Good   Components HAMMOND 7.5 kVA Transformer, Pri. 600 Sec.120/240, D53492207",https://www.lenmark.com//collections/dry-type-transformer/products/transformer-mcc-bucket-7-5kva-single-phase-dry-type
15 kVA Transformer 240/480 Primary Voltage 120/240 Secondary Voltage,HEVI-DUTY ELECTRIC,15 kVA,240/480 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,,Model  S5H15   UNITED STATES   Used   15 kVA   240/480 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry  NEMA Class: AA,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-transformer-240-480-primary-voltage-120-240-secondary-voltage
37.5 kVA Isolation Transformer Pri. 480V Sec. 120/240V,BEAVER,37.5 kVA,480 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,Nema 2,Model  S37HK   A45514   CANADA   Used   37.5 kVA   480 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/37-5-kva-isolation-transformer-pri-480v-sec-120-240v
"15 KVA Transformer, 240 Primary Voltage, 120 Secondary Voltage",FEDERAL PIONEER,15 kVA,240 volts,120 volts,Single-phase,Dry,,,Made In  CANADA   Good   15 kVA   240 volts   120 volts   Single-phase   Isolation   Dry   Amps: 62.5A - 125A  Frequency: 60Hz,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-transformer-240-primary-voltage-120-secondary-voltage
HAMMOND 7.5 kVA Transformer Pri. 600 Sec.120/240 D53492207,HAMMOND,,,,,,,,Model  D53492207   Very Good,https://www.lenmark.com//collections/dry-type-transformer/products/hammond-7-5-kva-transformer-pri-600-sec-120-240-d53492207
"25 kVA Isolation Transformer, Pri. 208V, Sec. 120/240 V",EVI,25 kVA,208 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,Nema 1,Model  CD1A0025HKA6XXLA   DQF-0058-174552   Used   25 kVA   208 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry   Nema 1   Cooling: ANN Temp. Rise: 150C  Class: 220,https://www.lenmark.com//collections/dry-type-transformer/products/25-kva-isolation-transformer-pri-208v-sec-120-240-v
15 kVA Isolation Transformer Pri. 480 Delta V Sec. 480Y/277 V,BEAVER,15 kVA,480 Delta volts,480Y/277 volts,3-phase,Dry,Distribution Transformer,Nema 2,Model  BA15H-P/Z/B   C71269   CANADA   Used   15 kVA   480 Delta volts   480Y/277 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-isolation-transformer-pri-480-delta-v-sec-480y-277-v
30 kVA Dry Type Transformer 480 Delta Pri. Voltage 416Y/240 Sec. Voltage,GS,30 kVA,480 Delta volts,,3-phase,Dry,,,Model  DT1121H30TS   Used   30 kVA   480 Delta volts   3-phase   Isolation   Dry   Secondary Voltage: - 416Y/240 V Primary Amps: - 36 A  Secondary Amps: - 42 A Frequency: - 60 Hz  Class: - AA Type: - Drive Isolation Transformer,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-dry-type-transformer-480-delta-pri-voltage-416y-240-sec-voltage-1
30 kVA Isolation Transformer 5H3-30CR-3C 600V HV 208Y/120V LV,MAGNETEK,45 kVA,600 volts,120/208 volts,3-phase,Dry,,,Model  5H3-30CR-3C   8093-17   CANADA   Used   45 kVA   600 volts   120/208 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-isolation-transformer-5h3-30cr-3c-600v-hv-208y-120v-lv-2
"15 kVA Single-Phase Transformer, 220/230/240 pri. volt, 208 sec. volt, EER15KH8C",BEAVER,15 kVA,220/230/240 volts,208 volts,Single-phase,Dry,,Nema 3R,Model  EER15KH8C   New   15 kVA   220/230/240 volts   208 volts   Single-phase   Auto   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-single-phase-transformer-220-230-240-pri-volt-208-sec-volt-eer15kh8c
30 kVA Isolation Transformer 5H3-30CR-3C 600V HV 208Y/120V LV,MAGNETEK,30 kVA,600 volts,208Y/120 volts,3-phase,Dry,,,Model  5H3-30CR-3C   CANADA   Used   30 kVA   600 volts   208Y/120 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-isolation-transformer-5h3-30cr-3c-600v-hv-208y-120v-lv
"25 kVA Isolation Transformer, Pri. 208V, Sec. 120/240V",EVI,25 kVA,208 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,Nema 1,Model  CDSC0025HKA6XXLA   DOG-0324-164923   Used   25 kVA   208 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry   Nema 1   Cooling: ANN Temp. Rise: 150C  Class: 220,https://www.lenmark.com//collections/dry-type-transformer/products/25-kva-isolation-transformer-pri-208v-sec-120-240v
"45 kVA Isolation Transformer Pri. 600V, Sec. 600/347V, 5H3-45C-59C",MAGNETEK,45 kVA,600 volts,600/347 volts,3-phase,Dry,,,Model  5H3-45C-59C   8019-5   CANADA   Used   45 kVA   600 volts   600/347 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/45-kva-isolation-transformer-pri-600v-sec-600-347v-5h3-45c-59c
"15kVA Isolation Transformer Pri. 600 Delta V, Sec. 208Y/120V, BC15JM/ZZ/B",BEAVER,15 kVA,600 Delta volts,208Y/120 volts,3-phase,Dry,,Nema 2,Model  BC15JM/ZZ/B   C32920   CANADA   Used   15 kVA   600 Delta volts   208Y/120 volts   3-phase   Isolation   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-isolation-transformer-pri-600-delta-v-sec-208y-120v-bc15jm-zz-b
"15kVA Isolation Transformer Pri. 600V, Sec. 208Y/120V, NMK015PBCN",HAMMOND POWER SOLUTIONS INC.,15 kVA,600 volts,208Y/120 volts,3-phase,Dry,,Nema 3R,Model  NMK015PBCN   CANADA   Used   15 kVA   600 volts   208Y/120 volts   3-phase   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-isolation-transformer-pri-600v-sec-208y-120v-nmk015pbcn
30 kVA Isolation Transformer 5H3-30CR-3C 600V HV 208Y/120V LV,MAGNETEK,30 kVA,600 volts,208Y/120 volts,3-phase,Dry,,,Model  5H3-30CR-3C   CANADA   Used   30 kVA   600 volts   208Y/120 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-isolation-transformer-5h3-30cr-3c-600v-hv-208y-120v-lv-1
"30kVA Isolation Transformer Pri. 600 Delta V Sec. 480Y/277 V, B30JP",REX MANUFACTURING,30 kVA,600 Delta volts,480Y/277 volts,3-phase,Dry,,,Model  B30JP   B8716   Used   30 kVA   600 Delta volts   480Y/277 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-isolation-transformer-pri-600-delta-v-sec-480y-277-v-b30jp-1
"10 kVA Transformer, 600 pri. volts, 380Y/219 sec. volts",DELTA,10 kVA,600 volts,380Y/220 volts,3-phase,Dry,Distribution Transformer,Nema 1,Model  CDTC0010VNA6XXBA   DOA-0554-162155   Used   10 kVA   600 volts   380Y/220 volts   3-phase   Distribution Transformer   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/10-kva-transformer-600-pri-volts-380y-219-sec-volts
"15kVA Isolation Transformer Pri. 600V, Sec. 208Y/120V, S3G3015C",SIEMENS,15 kVA,600 volts,208Y/120 volts,3-phase,Dry,,Nema 1,Model  S3G3015C   CANADA   Used   15 kVA   600 volts   208Y/120 volts   3-phase   Isolation   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-isolation-transformer-pri-600v-sec-208y-120v-s3g3015c
"6 kVA Auto Transformer RC6JC/X/B, 600V Pri., 240V Sec.",BEAVER,6 kVA,600Y volts,240Y volts,3-phase,Dry,Distribution Transformer,Nema 1,Model  RC6JC/X/B   20827055   Used   6 kVA   600Y volts   240Y volts   3-phase   Distribution Transformer   Auto   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/6-kva-auto-transformer-rc6jc-x-b-600v-pri-240v-sec
37.5 kVA Dry Type Transformer No. CDSC0037RKA6XXLA,DELTA,37.5 kVA,480 volts,120/240 volts,Single-phase,Dry,,,Model  CDSC0037RKA6XXLA   DKK-0497-145171   Used   37.5 kVA   480 volts   120/240 volts   Single-phase   Auto   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/37-5-kva-dry-type-transformer-no-cdsc0037rka6xxla
"50 kVA Transformer, Pri. 480V, Sec. 480/277V",MARCUS,50 kVA,480 volts,277/480 volts,3-phase,Dry,,,S/N:  6679-188 4T   CANADA   Used   50 kVA   480 volts   277/480 volts   3-phase   Dry  Type: TW,https://www.lenmark.com//collections/dry-type-transformer/products/50-kva-transformer-pri-480v-sec-480-277v
"50 kVA Transformer, 208 Primary Voltage, 208Y/120 Secondary Voltage",E.V.I,50 kVA,208 volts,208Y/120 volts,3-phase,Dry,,Nema 1,Model  VKTC0050HHA6CXBA   Used   50 kVA   208 volts   208Y/120 volts   3-phase   Auto   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/50-kva-transformer-208-primary-voltage-208y-120-secondary-voltage
"15 kVA Transformer, 208 Primary Voltage, 600Y/347 Secondary Voltage",DELTA,15 kVA,208 volts,600Y/347 volts,3-phase,Dry,,Nema 3R,Model  CD3C0015 S004739   DOG-0530-164879   Used   15 kVA   208 volts   600Y/347 volts   3-phase   Isolation   Dry   Nema 3R   Primary: 208V   Secondary: 600Y/346V  Insulation Class: 220 °C   Temp. Rise: 150 °C,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-transformer-208-primary-voltage-600y-347-secondary-voltage
25 kVA Isolation Transformer Pri. 480V Sec. 240/120V,POLYGON,25 kVA,480 volts,240/120 volts,Single-phase,Dry,Distribution Transformer,,S/N:  7240-2   CANADA   Used   25 kVA   480 volts   240/120 volts   Single-phase   Distribution Transformer   Isolation   Dry  Style: 5H1-25BR-3C,https://www.lenmark.com//collections/dry-type-transformer/products/25-kva-isolation-transformer-pri-480v-sec-240-120v
7.5 kVA Isolation Transformer Pri. 480V Sec. 120/240V,BEAVER,7.5 kVA,480 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,Nema 2,Model  SC7HK/B   C23624   CANADA   Used   7.5 kVA   480 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/7-5-kva-isolation-transformer-pri-480v-sec-120-240v
5 kV (75 kV BIL) Transformer Bushing 3140 Amp,WARCO,,,,,Dry,,,"Model  41A05039-1   Good   Dry   KV: 5 KV   BIL: 75 BIL  Amp: 3140 amp   Stud Size: 2""-12  Overall Length: 35.51""   Shank Length: 20""",https://www.lenmark.com//collections/dry-type-transformer/products/5-kv-75-kv-bil-transformer-bushing-3140-amp
"20 kVA Auto Transformer, Pri. 240Y Volts, Sec. 208Y Volts",BEAVER,20 kVA,240Y volts,208Y volts,3-phase,Dry,,Nema 1,Model  AVR20KH4C   J59189   CANADA   Used   20 kVA   240Y volts   208Y volts   3-phase   Auto   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/20-kva-auto-transformer-pri-240y-volts-sec-208y-volts
Transformer Type Continuous P/N 15546 3-Ph 575V Input 460V Output,ESAB,,,,3-phase,Dry,,,Model  15546   AORI632057   UNITED STATES   Used   Dry   3-phase   Input: 575V  Output: 480V  Frequency: 60 Hz,https://www.lenmark.com//collections/dry-type-transformer/products/transformer-type-continuous-p-n-15546-3-ph-575v-input-460v-output
10 kVA Dry Transformer 480 Primary Voltage 240/120 Secondary Voltage 10S1F,SQUARE D,10 kVA,240/480 volts,120/240 volts,Single-phase,Dry,,Nema 3R,Model  10S1F   MEXICO   Used   10 kVA   240/480 volts   120/240 volts   Single-phase   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/10-kva-dry-transformer-480-primary-voltage-240-120-secondary-voltage-10s1f
"Contactor, Model DIL 6-22",Lenmark Industries,,220 volts,440 volts,3-phase,Dry,,,Model  DIL 6-22   Used   Dry   220 volts   440 volts   3-phase,https://www.lenmark.com//collections/dry-type-transformer/products/contactor-model-dil-6-22
10 kVA Auto Transformer 240 Primary Voltage 208 Secondary Voltage MC10CP,REX MANUFACTURING,10 kVA,240 volts,208 volts,Single-phase,Dry,,,Model  MC10CP   803200132   Used   10 kVA   240 volts   208 volts   Single-phase   Auto   Dry   Frequency: 60 Hz Class: 180  Conductor Materia: Copper,https://www.lenmark.com//collections/dry-type-transformer/products/10-kva-auto-transformer-240-primary-voltage-208-secondary-voltage-mc10cp
"25 kVA Auto Transformer, 480 Primary Voltage, 120/240 Secondary Voltage",WISMER & RAWLING,25 kVA,480 volts,120/240 volts,Single-phase,Dry,,,Model    3188   Used   25 kVA   480 volts   120/240 volts   Single-phase   Auto   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/25-kva-auto-transformer-480-primary-voltage-120-240-secondary-voltage
"1 kVA Transformer, 220 Primary Voltage, 440 Secondary Voltage No. C1S67F",SQUARE D,1 kVA,220 volts,440 volts,Single-phase,Dry,,Nema 3R,Model  C1S67F   UNITED STATES   Used   1 kVA   220 volts   440 volts   Single-phase   Auto   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/1-kva-transformer-220-primary-voltage-440-secondary-voltage-no-c1s67f
15 kVA Isolation Transformer Pri. 480V Sec. 120/240V,MAGNETEK,15 kVA,480 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,,S/N:  7909-2   Used   15 kVA   480 volts   120/240 volts   Single-phase   Distribution Transformer   Isolation   Dry  Style: 5H1-15BR-3C,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-isolation-transformer-pri-480v-sec-120-240v
Constant Voltage Transformer No. 30989,SOLA,0.5 kVA,120 volts,,Single-phase,Dry,,,Model  30989   D10732   UNITED STATES   Used   0.5 kVA   120 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/constant-voltage-transformer-no-30989
5 kV (75 kV BIL) Transformer Bushing,WARCO,,,,,Dry,,,"Model  41A05015-1   Used   Dry   KV: 5 KV   BIL: 75 BIL  Amp: 785 amp   Stud Size: 1""-14  Overall Length: 35.51""   Shank Length: 20""",https://www.lenmark.com//collections/dry-type-transformer/products/5-kv-75-kv-bil-transformer-bushing
"3 kVA Distribution Transformer C1F003PES, Primary 600V, Secondary 120V/240V",HAMMOND,3 kVA,600 volts,120/240 volts,Single-phase,Dry,Distribution Transformer,Nema 3R,Model  C1F003PES   Surplus New   3 kVA   600 volts   120/240 volts   Single-phase   Distribution Transformer   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/3-kva-distribution-transformer-c1f003pes-primary-600v-secondary-120v-240v
"20.4 kVA Auto Transformer, Input 208V, Output 235V, 415-0001-084",JEFFERSON ELECTRIC,20.4 kVA,208 volts,,3-phase,Dry,,Nema 3R,Model  415-0001-084   MEXICO   Surplus New   20.4 kVA   208 volts   3-phase   Auto   Dry   Nema 3R   Frequency: 60 Hz Class: A  Series: 415 Output Voltage: 235 Volts  Output Amps: 50@50% Duty,https://www.lenmark.com//collections/dry-type-transformer/products/20-4-kva-transformer-208-primary-voltage-235-secondary-voltage-415-0001-084
"15 kVA Transformer, 480 Primary Voltage, 208Y/120 Secondary Voltage",HAMMOND,15 kVA,480 volts,208Y/120 volts,3-phase,Dry,Distribution Transformer,Nema 2,Made In  CANADA   Used   15 kVA   480 volts   208Y/120 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 2   Type: K  Cooling: ANN  Temp. Rise: 150 o C  Temp. Class: 220 o C,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-transformer-480-primary-voltage-208y-120-secondary-voltage
75 VA Voltage Transformer 35/1 Ratio PTG3-2-60-422CCL,INSTRUMENT TRANSFORMERS,.75 kVA,,120 volts,,Dry,Potential Transformer,,Model  PTG3-2-60-422CCL   Surplus New   .75 kVA   120 volts   Potential Transformer   Dry   Primary Voltage: 4200 volts  Secondary Voltage: 120 volts  Ratio: 35:1  BIL: 60KV,https://www.lenmark.com//collections/dry-type-transformer/products/75-va-voltage-transformer-35-1-ratio-ptg3-2-60-422ccl
1 kVA Transformer,WESTINGHOUSE,1 kVA,460 volts,120 volts,,Dry,,,Model  AJR   -- None --   1 kVA   460 volts   120 volts   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/1-kva-transformer
7.5 kVA Transformer 480 Primary Volt 185/107 Secondary Volt 3DLHZEZY,TRACON ENGINEERING,7.5 kVA,480 volts,,3-phase,Dry,Distribution Transformer,,Model  3DLHZEZY   84-4915B   CANADA   Used   7.5 kVA   480 volts   3-phase   Distribution Transformer   Isolation   Dry   Secondary Voltage: 185/107 Enclosure: EEMAC1  Class: 220 Cooling Type: ANN,https://www.lenmark.com//collections/dry-type-transformer/products/7-5-kva-transformer-480-primary-voltage-158-107-secondary-voltage-3dlhzezy
10.4 kVA Transformer w/ Line Filter,NUNOME ELECTRIC,10.4 kVA,480 volts,,3-phase,Dry,,,Model  NET010.4FK-A-480   2000   Used   10.4 kVA   480 volts   3-phase   Dry   Primary Voltage: 460/480 V Secondary Voltage: 200 V  Secondary Amp: 30 A Line Filter Brand: Schaffner  Part Number: FN258-30-07 Volts: 480 V  Amps: 30 A,https://www.lenmark.com//collections/dry-type-transformer/products/10-4-kva-transformer-w-line-filter-1
Motor Control Type FVNR Series II,SIEMENS,,120 volts,600 volts,,Dry,,,"Model  FVNR   Surplus New   Dry   120 volts   600 volts   Specifications:  Type: FVNR Magnetic Starter Series II Size: EEMAC Control Circuit: 120 volts 1 hp, 600 volts, 3-phase",https://www.lenmark.com//collections/dry-type-transformer/products/motor-control-type-fvnr-series-ii
500VA Enclosed Control Transformer FS500KHP (Box of 2),HPS FUSION,,,,,Dry,,,Model  FS500KHP   CHINA   Surplus New   Dry   Type: Dry Type Enclosed General Purpose Primary Voltage: 380/347  Secondary Voltage: 120 x 240 Power Rating: 500  Frequency Rating: 50/60 Phase: 1  Maximum Amperage Rating: 4.17/2.08 Connection Type: Coil Face/Terminal Block  Mounting Type: Panel Insulation: 130  Enclosure Type: FS-N1 - Indoor Temperature Rating: 30 to 40  Dimensions: 4.6 in L x 7.2 in W x 4.6 in H,https://www.lenmark.com//collections/dry-type-transformer/products/500va-enclosed-control-transformer-fs500khp-box-of-2
1 kVA Single Phase General Purpose Transformer,DONGAN,1 kVA,208 volts,120/240 volts,Single-phase,Dry,,Nema 3R,Model  85-3035SH   UNITED STATES   Surplus New   1 kVA   208 volts   120/240 volts   Single-phase   Dry   Nema 3R  ** New - in box,https://www.lenmark.com//collections/dry-type-transformer/products/1-kva-single-phase-general-purpose-transformer
1 kVA Transformer No. 2531359T00,HEVI-DUTY ELECTRIC,1 kVA,190/460 volts,115 volts,Single-phase,Dry,,,Condition  Used   1 kVA   190/460 volts   115 volts   Single-phase   Isolation   Dry   Type: SZ0,https://www.lenmark.com//collections/dry-type-transformer/products/1-kva-transformer-no-2531359t00
10.4 kVA Transformer w/ Line Filter,NUNOME ELECTRIC,10.4 kVA,480 volts,,3-phase,Dry,,,Model  NET010.4FK-A-480   2000   Used   10.4 kVA   480 volts   3-phase   Dry   Primary Voltage: 460/480 V Secondary Voltage: 200 V  Secondary Amp: 30 A Line Filter Brand: Schaffner  Part Number: FN258-30-07 Volts: 480 V  Amps: 30 A,https://www.lenmark.com//collections/dry-type-transformer/products/10-4-kva-transformer-w-line-filter
"600:5 A Ratio, 600 Volts Current Transformer 786-601MR","INSTRUMENT TRANSFORMERS, INC.",,600 volts,,Single-phase,Dry,Current Transformer,,Model  786-601MR   2014   53883998   UNITED STATES   Used   Current Transformer   Dry   600 volts   Single-phase   Series: 786MR Current Ratio: 600:5  Mounting: Mounting Holes Frequency (Hz): 50 to 400 Hz  Relay Class: C200 Metering Class: 0.3 B0.9  Ratio Factor: 2.0 Window Diameter: 6.5,https://www.lenmark.com//collections/dry-type-transformer/products/600-5a-current-transformer-786-601mr-1
372 Amp Class A DC Transformer RA20137,HUNTERDON,74 kVA,208 volts,,Single-phase,Dry,,,Model  RA20137   Used   74 kVA   208 volts   Single-phase   Isolation   Dry   Amperage: 372 Amps  Class: A,https://www.lenmark.com//collections/dry-type-transformer/products/372-amp-class-a-dc-transformer-ra20137
"27 kVA Transformer, 208/120 Primary Voltage, N10000-225A-208V",POWERSMITHS,27 kVA,208/120 volts,,3-phase,Dry,,Nema 3,Model  N10000-225A-208V   8321-1   Used   27 kVA   208/120 volts   3-phase   Auto   Dry   Nema 3,https://www.lenmark.com//collections/dry-type-transformer/products/27-kva-transformer-208-120-primary-voltage-n10000-225a-208v
55 Amp Line Reactor RL-05503,MTE CORPORATION,,600 volts,,,Dry,,,Model  RL-05503   Used   Dry   600 volts   Horsepower: 50 hp   Impedance: 5%,https://www.lenmark.com//collections/dry-type-transformer/products/3-phase-line-reactor-rl-05503
3 kVA Dry Transformer 600Y Primary Voltage 480Y Secondary Voltage RC3J-H,REX POWER MAGNETICS,3.0 kVA,600Y volts,480Y volts,3-phase,Dry,,Nema 1,Model  RC3J-H   D90261   CANADA   Used   3.0 kVA   600Y volts   480Y volts   3-phase   Auto   Dry   Nema 1   Insulation Class: 180 C Frequency: 60 Hz  Type: ANN,https://www.lenmark.com//collections/dry-type-transformer/products/3-kva-dry-transformer-600y-primary-voltage-480y-secondary-voltage-rc3j-h
"0.15 kVA Power Dry Type Transformer 220-036, Primary 600V, Secondary 120/240V",JEFERSON ELECTRIC,0.15 kVA,600 volts,120/240 volts,Single-phase,Dry,,,Model  220-036   Surplus New   0.15 kVA   600 volts   120/240 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/0-15-kva-power-dry-type-transformer-220-036-primary-600v-secondary-120-240v
4.65 kVA Transformer No. 150b-107,Lenmark Industries,4.65 kVA,460/490 volts,220 volts,3-phase,Dry,,,Model  150b-107   Used   4.65 kVA   460/490 volts   220 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/4-65-kva-transformer-no-150b-107
"0.15 kVA Dry Type Transformer Primary 600V, Secondary 120/240V, 220-036",Lenmark Industries,0.15 kVA,600 volts,120/240 volts,Single-phase,Dry,,,Model  220-036   Surplus New   0.15 kVA   600 volts   120/240 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/0-15-kva-dry-type-transformer-primary-600v-secondary-120-240v-220-036
0.6 kVA Control Transformer 600 Volts CRX02D7BC,HAMMON POWER SOLUTIONS INC.,0.6 kVA,600 volts,,3-phase,Dry,,,Model  CRX02D7BC   Used   0.6 kVA   600 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/0-6-kva-control-transformer-600-volts-crx02d7bc
2400 VA Autotransformer No. AIM 10/5,B-LOC,2.4 kVA,2400 volts,120/240 volts,Single-phase,Dry,,,Model  AIM 10/5   Used   2.4 kVA   2400 volts   120/240 volts   Single-phase   Auto   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/autotransformer-no-aim-10-5
"600 volt Transformer, Type ET2500CSA",RATHGEBER & CO.,2 kVA,500/480/460 volts,110 volts,3-phase,Dry,,,Model  25-76   25 76   Used   2 kVA   500/480/460 volts   110 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/600-volt-transformer-type-et2500csa
Powerstat Variable Autotransformer 21-1124,SUPERIOR ELECTRIC,70 kVA,120 volts,140 volts,Single-phase,Dry,,,Model  21-1124   CANADA   Used   70 kVA   120 volts   140 volts   Single-phase   Auto   Dry   Single Phase  In V: 120 Out V:140  Amp: 5  KVA: 70,https://www.lenmark.com//collections/dry-type-transformer/products/powerstat-variable-autotransformer-21-1124
